window_size,model,precision,recall,f1,auc_roc
10,LightGBM,0.9408866995073891,0.20243773184949657,0.3331879633667684,0.7563068127333097
10,RandomForest,0.9982030548068284,0.19625507860801977,0.3280188957779746,0.7573272867215548
20,LightGBM,0.8702983138780804,0.22314599268373794,0.355214399152991,0.7543593162437764
20,RandomForest,0.9953051643192489,0.21150648486863985,0.3488754799780581,0.7491830016275145
40,LightGBM,0.14370969294446048,0.9015700483091788,0.24790369447903696,0.7566742590064803
40,RandomForest,0.9633251833740831,0.23792270531400966,0.3815980629539952,0.7612622324769664
100,LightGBM,0.1615623612960497,0.9077306733167082,0.2743029389600603,0.7398341566968654
100,RandomForest,0.968503937007874,0.30673316708229426,0.4659090909090909,0.7850180719088355
