model,chunk,chunk_size,anomaly_count_in_chunk,precision,recall,f1,auc_roc
RandomForest,1,2374,279,0.9821428571428571,0.3942652329749104,0.5626598465473146,0.9449097954679601
LightGBM,1,2374,279,0.39228295819935693,0.8745519713261649,0.5416204217536071,0.9202402032489031
RandomForest,2,2374,212,1.0,0.16981132075471697,0.2903225806451613,0.5414655804374008
LightGBM,2,2374,212,0.07947639083683965,0.8018867924528302,0.1446193109315185,0.4944375839980451
RandomForest,3,2374,311,0.9363636363636364,0.3311897106109325,0.48931116389548696,0.7665786565626496
LightGBM,3,2374,311,0.17260108630054316,0.9196141479099679,0.29065040650406504,0.6956372653691671
