E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29
-0.013656526832685216,0.005214695263993573,-0.00551399110479767,-0.018513262135123384,0.006329634823213886,0.001836317097869269,0.010652019034974071,0.007022093831724672,-0.006015659476209196,0.006962283747759918,-0.0162632590297471,0.00871756264931232,0.03798388465548178,0.0033491583696538107,-0.011752438882258964,-0.009741896292865508,-0.005586122067828052,0.033698800274481334,0.0064799351261362464,0.0383712935035816,0.023553441878383194,-0.0065504939047943645,-0.0003410204038086347,0.006546578774340446,0.003865765125941959,0.0076173322270653475,0.04188023901020939,-0.002849464564955361,-0.0022730105172973553
-0.019746079653001004,0.0011610767402872382,-0.004272259906053902,-0.007741343699070117,-0.013737988536260966,-0.000749528472699895,0.009507685568651138,-0.0005385643786281997,-0.010532807698337279,-0.0003902770200474974,-0.00029052803859634354,-0.004591533464462143,0.030509167555748114,-0.0004256014328189772,0.003519901969209016,-0.001826381510998799,0.010914744280347655,0.03392853295528337,0.004079483281669386,0.035534917021305845,0.014436273598512702,-0.005338805411152573,-0.0010383146136398902,0.0039215904144634444,-0.0054986900178715875,0.005045671227294581,0.036973343350933045,0.00021961799057333413,0.0018715659049524194
0.007980613186859898,0.00862682121848877,0.001583383924548822,-0.012368482718206904,-0.007848457516812323,-0.00227751325319516,0.021671425748381632,-0.0009109704714438401,-0.004241101770562628,-0.003343719243064197,-0.005317837157732031,-0.0018352826246261203,0.039620114990443184,-0.010218785863734453,0.002514465865803716,0.011447868752399228,-0.0022375929295958574,0.02714599242816105,-0.00502010480501843,0.04021813161532183,-0.005843007382913186,-0.015871337619216812,-0.040108665348140414,0.0076732021281437825,-0.006095653112342632,-0.0017928900519515734,0.054154031880568096,-0.006363004216845041,0.01080539733690842
0.005964626369665015,-0.005488756118307395,0.006851114958903097,0.0011300633938096747,-0.008401427129516107,0.0038278151298510817,0.011737860691342828,0.002055187246753374,-0.013572659148874785,-0.0012032386281641484,0.0031792845222196908,-0.007241230258003748,0.027648877967453363,-0.0012088697657678502,-0.0070570353345055705,0.0008258249025365127,0.012212584912235801,0.02573411167625458,0.018047884434976603,0.02807524859700492,0.0010820719433164477,-0.0001345649907189829,-0.01964973057427471,-0.004613800722621877,0.006658464859506282,-0.001447538147565339,0.0418203615006289,0.003799608015237625,-0.00018589972868622443
-0.0056239094613714955,0.00020950610328510628,-0.00709677907985161,-0.01462080953502762,-0.013205673865855505,0.002015656199329873,0.015369714509223944,0.0022122688558636307,-0.00905224191215709,-0.005706147391588835,6.28965776816381e-05,-0.005441338152675331,0.04794125689493378,-0.0060725375258938105,-0.007820249659148279,-0.008322236120377954,0.005292627337902872,0.04379960373442504,0.008508005600011264,0.05134701765961905,0.0036646495258279093,0.007422119928650514,0.00772865554060238,-0.007688715050963428,0.007992856698273695,-0.0026929426990219547,0.05670996961845631,0.012868008859249692,-0.004290636913507054
-0.0018858442987721156,0.002645724448686312,0.0009950928192885079,0.001031938620784898,-0.007352487273771377,-0.007988599538937146,0.0007078039012144671,0.002459005928767481,-0.016425847740925478,-0.003489293167734392,0.0055719724383915415,-0.005341177123660106,0.03898630059921435,0.007860431115393737,-0.013014272238273419,-0.00039399007146380887,-0.011127828121454861,0.03754359419172987,0.0021050084837447203,0.04239115840937145,0.02302710773170731,0.004423823784203605,0.011479164523165858,-0.004466571588786982,-0.01510279098876565,0.014996710583081085,0.03931181559425429,0.00917724664935743,-0.0035013916137699905
-0.01601461235637003,0.012122846172166099,0.00016498514826023466,-0.005787049365223169,0.0049631247472237796,-0.008134445881180133,0.010629416608750301,0.002794840858005408,-0.0015089427714928018,-0.00654903333230254,-0.003062427247865451,0.0019393098504510192,0.02618981503442048,0.008686786229056546,0.005107197303471272,-0.011715684117286327,-0.004696994661815411,0.04333655129257767,0.0006182067613003848,0.04394070782001342,-0.009009199239467892,0.0007192069804817469,-0.02506821636032754,0.0015536417419371798,-0.005167803933945948,0.01213347363241989,0.04825450712629167,0.01296148847114868,0.0010964481761876854
0.004506498812432023,0.008650582102549348,-0.0159895215727817,-0.009032768315030216,-0.00303390452063165,0.00034741370725820434,0.021357696839425323,-0.011907517950115062,-0.006897296931475037,-0.001972772492099108,-0.0005014940043613924,-0.0017680377109614547,0.038153550949054774,0.006895799993612804,-0.005660376371189528,0.0072080086473173335,0.003105248753662145,0.026463078763555394,-0.0018560756321013856,0.03518418778726429,-0.004780723226878636,0.003103502648160955,-0.019535852265365607,-0.00012207409973001744,0.004480157136686575,0.0037658583035881507,0.04042101709389275,-0.001754074891451685,0.007581148935987035
-0.003377697910020981,0.0008406567267756008,-0.006931544194270079,-0.005749602750235938,-0.010670897005980938,0.0046591291804056,0.0211956882465197,-0.0006049005680969987,-0.00403106826436132,0.0012725794980254057,-0.0036144372771796545,0.008638535073648776,0.04076700254251135,0.004345998918996679,-0.000685711052169096,0.0010860420287119137,-0.010460800140377764,0.03229462762167147,-0.005597579468032408,0.044283583125629175,0.006933942750691496,0.001213826732721119,-0.007678985109413003,-0.006881933620044769,-0.013392699195981368,-0.0007866903999207128,0.037828919120725134,0.0006085270239165854,-0.003976144596816722
-0.008423041910703382,0.017431052231423584,0.005917699423342588,-0.012213651535640238,0.0016288158044982205,-0.012415547580376817,0.008233928802481739,0.0143449533718562,-0.016043466724831663,0.006166480813607844,-0.0026893911191601468,0.007410900762982112,0.052851172879170356,-0.005510580154259974,0.0036901918654475203,0.006381290716763682,-0.01977550088387891,0.04685763309755707,-0.0052548652664241805,0.054005165024312504,-0.01830104824189364,0.003279940874282591,-0.02826464145202212,0.005700089356797031,-0.008154235948497426,0.011780970084217666,0.05895672477671958,0.008853179588855252,-0.009175539749341275
