Feature,MeanAbsSHAP,MeanAbsLIME
E23,1.0851483128120498,0.013614953724716607
E3,0.5902488305581135,0.006482458113620803
E21,0.589492316532917,0.010603528877194686
E9,0.5463689399403604,0.009134138060941202
E20,0.5290761302084893,0.04164806932847201
E26,0.28856002476311693,0.007681558521040871
E27,0.22685470113683087,0.0467341788164142
E4,0.13155001188233165,0.008782709693658165
E18,0.09468043482113433,0.032889919041531074
E2,0.05974583759359806,0.005781773698724429
E13,0.0248374143662869,0.03978568835214516
E5,0.02249620229982886,0.0055714438284138355
E28,0.020541330402903974,0.006417669843403322
E7,0.020466220744990844,0.009570458496549002
E6,0.007592527681599416,0.005318701330273885
E16,0.004133087380835427,0.005665132703266427
E29,0.0010696197323227278,0.005654642519738407
E10,2.5294063351784822e-06,0.005258771674428445
E22,0.0,0.005865503830066891
E25,0.0,0.005585385196532839
E24,0.0,0.005500326349320319
E1,0.0,0.005833289721172736
E19,0.0,0.006190077771229558
E17,0.0,0.006013465543063852
E14,0.0,0.005621519697064872
E12,0.0,0.006459779511838795
E11,0.0,0.005420800369519418
E8,0.0,0.005392111279601362
E15,0.0,0.005363072946926117
