Feature,MeanAbsSHAP,MeanAbsLIME
E18,350839017035.0779,0.014984906087610722
E473,241514883758.07217,0.017743347454205215
E280,139498455106.27988,0.0026635634065758813
E255,123737313503.1463,0.002566713646555099
E3,117463312729.0316,0.0061317680355463524
E230,58282172416.256935,0.01263819142730508
E438,46685991141.743904,0.002757777662902849
E6,20611167966.781517,0.004357856031454836
E11,15823997880.201706,0.009933688868713613
E233,15315956047.32794,0.013184018285113917
E55,14386528640.586643,0.021179854460601572
E343,14098679594.722034,0.0025713794979809455
E57,13811179882.287756,0.0026746784321345467
E449,13317258377.152197,0.0025274787797537925
E466,12864841753.60323,0.008694025738138838
E1,12582455075.852097,0.004802115318389263
E17,12103774963.051802,0.008334711148979995
E23,11702734329.91787,0.0025832415957082687
E139,11672021704.5728,0.00247468746482198
E323,11467063189.978045,0.0023814789463685
E353,11340417467.49598,0.009183632497362752
E398,11205848301.005112,0.015045071632076685
E19,11120324264.55694,0.00301366443577651
E370,11009706763.461403,0.002775131777735749
E35,10007884167.3572,0.002467282469614593
E490,9681987820.945099,0.006947746787092983
E12,9636331724.650518,0.002916566892015272
E465,9598059800.690464,0.0028507323255022297
E298,9531375168.443382,0.01324623281401235
E231,9409798432.759403,0.006696863127195644
E251,9359518449.042992,0.00277646603967045
E145,8939697254.259052,0.002868446866354703
E297,8849974230.961815,0.002848475925408652
E199,8476378262.924635,0.0031053111837789538
E56,8224948823.004259,0.0027598165106690544
E20,8092294232.158097,0.0037060955218204293
E232,7656019903.705304,0.003496548308703373
E290,6923116648.557809,0.0026947647008936336
E439,6916493201.054098,0.002414943657971758
E4,6432033304.777774,0.0026665312460317525
E29,6321654827.209589,0.0026833771527118235
E295,6289087892.746408,0.0022685375564496456
E330,6040460505.167419,0.011926126544792304
E200,5999024072.758649,0.0026913762843343634
E234,5803325785.944226,0.00280214292842941
E30,5633694581.247009,0.0028168443581710586
E198,5618127677.905647,0.002407725565569576
E240,5548261576.475407,0.0029559426894338976
E431,5126283003.161754,0.0027301026530278717
E16,5068374475.667654,0.0037598839131878815
E236,4853442983.823733,0.006150528795350417
E288,4843711207.231907,0.0024104014614564767
E436,4773519400.2795725,0.0026880252859916953
E32,4341250640.059905,0.0025721979629532913
E38,4272814099.1870465,0.0023344164834246113
E31,4209341819.5156245,0.0034001853069008468
E40,4191371341.5792084,0.002816081783025238
E489,3907568742.450017,0.0025456657556642546
E44,3875439369.710362,0.0026472149391064737
E34,3858997666.545792,0.002833779182584666
E437,3842132250.3328915,0.002500398337591136
E10,3822408210.1170397,0.00251575210006791
E33,3574030851.875955,0.0025659561087214124
E37,3472179593.8016706,0.0027908763657642417
E225,3459433309.1095595,0.0022948792993989476
E355,3447680951.1327124,0.002554432567337329
E239,3409931285.2401567,0.002855146685475044
E39,3298579386.7968507,0.0027060607390829196
E291,3019739567.0087633,0.0023677755568295234
E43,2716048200.553077,0.0026375914979679172
E464,2582401967.1799126,0.002383098983696209
E36,2421776695.6745906,0.0034019628902791322
E451,2351119373.0393353,0.0025827696337069107
E41,2272720013.293429,0.002839793761794429
E197,2245760027.847548,0.0024426889088857238
E7,2177051107.9018636,0.003118564402101795
E237,2128611289.0049558,0.0026419637913926
E488,2127132999.5626976,0.0028087507992734773
E235,2118452518.5723193,0.003344524917644345
E48,2081275517.5263894,0.0023974404521384736
E321,1990119060.750584,0.0024355191466054033
E359,1968690226.3655,0.003139475047068502
E427,1925464060.3458555,0.0026201513959459278
E206,1722617203.3869147,0.002691290614502004
E238,1709538671.2834876,0.003057912157387952
E138,1709180079.8208091,0.0023987741900976488
E42,1523691629.435963,0.002191382215145353
E5,1439300458.3716989,0.002514970506117821
E51,1386729787.7189898,0.0024610997257128817
E2,1248923491.936331,0.0030736950265844642
E325,1073468225.7747803,0.002392879955732929
E72,1065104044.1846081,0.0026691006024756863
E311,1012509134.4156841,0.002498043807964959
E227,940368849.5261708,0.0028076727507914067
E324,824732074.0226278,0.0027459447439455026
E360,695585461.5429027,0.0025024967545174905
E141,661763244.0975645,0.002811061735652528
E24,561011733.4684706,0.0025258545577567064
E140,503616611.0800112,0.0024553794172731407
E215,496886057.6412076,0.002717618192123047
E450,459085576.9820908,0.0028570939383386605
E249,439723594.4313745,0.00450993186634072
E68,405165990.420492,0.002533216470938543
E422,378388570.06530225,0.002667834612736579
E195,351582661.26934004,0.002618613687554282
E67,346135979.0072438,0.0027742472309594587
E73,340631141.55215466,0.0022048472145060564
E275,330493294.4374203,0.0020681289677330276
E146,314405202.0905564,0.0025813614448789977
E241,262597952.1033666,0.002544372612754694
E8,259742634.53346112,0.0026874458269039235
E184,259455066.99535534,0.0026857511288949807
E345,240878687.4454411,0.0026213648618657647
E14,227100537.69599015,0.002533169821207275
E469,222453169.4322766,0.002549612345464168
E47,217259003.8640454,0.0025207898414711842
E196,190263737.0997036,0.0023608602485036133
E22,179314962.66339943,0.0023218631931255424
E467,166269336.18380582,0.004183908984011871
E326,163203728.59903705,0.0026875416316607436
E357,156559009.04645196,0.0028179701906845584
E45,150298743.0758576,0.0025339457347741457
E279,148380260.48267144,0.002787156177599835
E242,147681800.84587017,0.002366241706798912
E351,144799724.6671777,0.0028554254279189156
E352,134782264.80912828,0.002372394501136369
E46,123859454.1118601,0.002549881614534126
E312,123020482.94940998,0.0027381734776459545
E441,112394953.08904159,0.002848554604525568
E435,109900205.97801238,0.0027475910887276287
E313,106706231.06264256,0.0027547853066698623
E26,101616572.63419086,0.002376509397776788
E363,99043519.93797827,0.0024737875098406947
E53,95757795.28077,0.003780588022929744
E173,91639700.33089262,0.002611963302978508
E229,91605798.3888219,0.002251696098084049
E456,89270472.90702282,0.0028118093568304404
E71,88681699.36599736,0.002443181918257486
E327,87862402.12472656,0.0027556944663774154
E468,82088201.88517208,0.0028905974710231263
E25,79619821.24928457,0.002440251329616252
E283,77502812.89183615,0.0024774459599850853
E428,68148131.86346495,0.0024859072987960056
E358,65926803.53283241,0.0027917864413390535
E432,65770464.27904177,0.002189587673782924
E74,64210232.945027076,0.0022920028778077163
E247,60351259.471453756,0.002703587707802506
E356,58153971.80970815,0.0030341607300139327
E15,53637896.52893968,0.002628908580206755
E194,52291339.93863408,0.00227777313413592
E448,46500509.21039609,0.002925950748498084
E58,45440190.633206375,0.0028107431546348536
E59,43994717.078070275,0.0026270632401490194
E361,42158706.70642328,0.002768114397181729
E447,40701667.03892358,0.00238142268254255
E331,40259839.78012516,0.0025083891922551725
E9,34246993.45318967,0.0028524527844498732
E303,32483481.24554833,0.0024968034499908325
E27,32245815.254726615,0.002776302021937688
E177,30197950.72914828,0.002456375759755769
E322,29833633.674258623,0.0022369274159397905
E396,27602557.746226665,0.0027225135456840866
E65,25221687.99852737,0.0029801322701086697
E178,23545773.473827414,0.0022153937676658163
E440,22483164.01529612,0.0023779877981004462
E371,21796011.77112653,0.0025134097700152576
E458,21545359.028868392,0.0027380335124498967
E243,20027146.205847718,0.00259973601047169
E354,19504980.782622147,0.002529136891485202
E183,18218488.71814781,0.002580655014663208
E364,17741651.175745893,0.002347638169203379
E28,15746142.686333906,0.002330476935753073
E373,15189265.196106227,0.002316725533123469
E397,14496301.229255898,0.002647857927202895
E329,13217830.37675111,0.0027292436667623655
E426,12272403.568497604,0.0025265858991442257
E434,11958953.0728285,0.002224808171575867
E21,10814201.895524887,0.002981157278347082
E294,10317648.099047828,0.0021997097901900638
E455,10252172.536672985,0.0026589803484560336
E365,9032372.79591679,0.002537305410305712
E180,8298243.652239075,0.0026833564709741065
E301,7591443.686638093,0.0023459886603728504
E310,7362463.162036041,0.002592430792948713
E442,6745444.985014718,0.002573505668917881
E161,6519854.906529408,0.002542784983059081
E430,6168138.451803909,0.0025216836715414885
E459,5375115.8771937005,0.0026891593162311662
E457,4756630.495320056,0.002546025325548421
E281,4461481.488482759,0.002834082708166876
E172,4430751.7897283835,0.002740161944382381
E158,4424378.699469756,0.0025340440605246717
E77,4051905.3446760233,0.002674151923571935
E228,3973373.5473386026,0.002402130269867769
E452,3558301.8843869213,0.002831067249409868
E328,3337796.7045272016,0.0027625892074946835
E344,3130478.658157683,0.0026530816841203813
E13,2975114.0390973706,0.0028689249058635223
E155,2962686.8474777853,0.002313505126872888
E267,2820945.5230987426,0.002791308007691368
E453,2710760.626436817,0.0024693245871150477
E282,2625112.359600704,0.0023996332982801475
E167,2322511.2202712484,0.002521330830405318
E491,2240387.487106231,0.0023689240806795482
E470,1982791.2982353119,0.002685381055252817
E300,1948700.6022804677,0.0025518034829949453
E69,1921797.1676348988,0.0026120927147297063
E253,1892459.7103840783,0.0023353877204671768
E142,1636690.3686989096,0.0026556007758199874
E176,1554469.7290543364,0.0026797384589225147
E369,1472524.3225501971,0.0025577295596338136
E166,1446832.9241234534,0.002334711232401443
E429,1336199.6348684942,0.0028208201773577656
E109,1331938.2650284101,0.0024041562144994813
E471,1265180.4851598833,0.0025395906468181056
E284,1006979.5778475319,0.0026665965413633285
E188,842529.7866036496,0.00270058195734162
E181,809062.4897404615,0.0026094171809949505
E100,745869.8146220776,0.0026771104587805026
E402,664634.47314292,0.00244220246415455
E201,658510.9571783966,0.002489520316786888
E149,592635.0989960341,0.0023642211730714943
E102,583498.9996824375,0.002373903476516509
E162,558761.9699107476,0.0023569516086416617
E175,558143.5831969859,0.0024005004816239086
E484,512250.8168207064,0.0027434500405355455
E186,508310.83595691464,0.0028552935671578004
E185,486639.5481096889,0.002189616231010087
E187,473274.6919836094,0.002694860457936016
E277,406065.2305946281,0.0026437206486676435
E157,388899.5535447901,0.002290325532106126
E169,373759.37908996013,0.0025936602159041867
E421,339376.2224681389,0.002611315495301811
E168,329031.18345123186,0.0024952499947314003
E125,323354.2208956344,0.00268233085920843
E412,320692.8643594812,0.002583232930240953
